sex,raceEthnicity,foreign,period,majorCauses,age,pop,deaths,ASDR
Male,White,US-Born,2017-2019,Total,75-84,15091132.99392724,800651,5305.4399581674
Male,White,US-Born,2017-2019,Total,85+,5250619.396774145,807004,15369.691440514693
Male,White,US-Born,2020,Total,25-34,12366263.796686966,26694,215.8614795776196
Male,White,US-Born,2020,Total,35-44,11346811.37821544,37135,327.272559331469
Male,White,US-Born,2020,Total,45-54,11564266.897500675,67220,581.2733361811971
Male,White,US-Born,2020,Total,55-64,13568799.028641982,168915,1244.8780444270878
Male,White,US-Born,2020,Total,65-74,10972312.646860315,266939,2432.8417225368034
Male,White,US-Born,2020,Total,75-84,5379377.159863481,318488,5920.536718940202
Male,White,US-Born,2020,Total,85+,1789590.9167519,304889,17036.798585979202
Male,Hispanic,Foreign-Born,2017-2019,Total,25-34,5709917.967933137,6012,105.2904793687642
Male,Hispanic,Foreign-Born,2017-2019,Total,35-44,7280374.242188446,9718,133.4821490863197
Male,Hispanic,Foreign-Born,2017-2019,Total,45-54,6508971.00446778,17048,261.9154392959839
Male,Hispanic,Foreign-Born,2017-2019,Total,55-64,4193729.7695684596,26429,630.2027420026059
Male,Hispanic,Foreign-Born,2017-2019,Total,65-74,2025598.8036351337,29595,1461.0494411276754
Male,Hispanic,Foreign-Born,2017-2019,Total,75-84,863699.9580116577,32525,3765.7753364810283
Male,Hispanic,Foreign-Born,2017-2019,Total,85+,294903.1192166243,28416,9635.70682991885
Male,Hispanic,Foreign-Born,2020,Total,25-34,1822101.139869776,2854,156.6323590689358
Male,Hispanic,Foreign-Born,2020,Total,35-44,2433332.0538345277,5675,233.21930071389727
Male,Hispanic,Foreign-Born,2020,Total,45-54,2221087.8493129155,10728,483.0065593001494
Male,Hispanic,Foreign-Born,2020,Total,55-64,1504143.9140582918,17540,1166.1118218851666
Male,Hispanic,Foreign-Born,2020,Total,65-74,748535.7028381518,19874,2655.0503769754255
Male,Hispanic,Foreign-Born,2020,Total,75-84,314269.10289316165,18553,5903.53930093702
Male,Hispanic,Foreign-Born,2020,Total,85+,109865.25571407274,14610,13298.107672932483
Male,Hispanic,US-Born,2017-2019,Total,25-34,9098360.032066863,13610,149.5873976412454
Male,Hispanic,US-Born,2017-2019,Total,35-44,5945333.757811554,13469,226.54741598489952
Male,Hispanic,US-Born,2017-2019,Total,45-54,4099027.9955322193,19980,487.43263090121417
Male,Hispanic,US-Born,2017-2019,Total,55-64,2946603.23043154,30321,1029.0153654504543
Male,Hispanic,US-Born,2017-2019,Total,65-74,1651836.1963648663,31495,1906.666052560772
Male,Hispanic,US-Born,2017-2019,Total,75-84,686803.0419883423,29645,4316.3757566034765
Male,Hispanic,US-Born,2017-2019,Total,85+,245517.88078337573,26720,10883.117724356489
Male,Hispanic,US-Born,2020,Total,25-34,3191345.860130224,6457,202.3284307936627
Male,Hispanic,US-Born,2020,Total,35-44,2081244.9461654727,6697,321.77855914262693
Male,Hispanic,US-Born,2020,Total,45-54,1431432.1506870845,8926,623.5712950638658
Male,Hispanic,US-Born,2020,Total,55-64,1069573.0859417082,13875,1297.2465540102594
Male,Hispanic,US-Born,2020,Total,65-74,619377.297161848,15173,2449.718462321227
Male,Hispanic,US-Born,2020,Total,75-84,259354.89710683838,13659,5266.528664917912
Male,Hispanic,US-Born,2020,Total,85+,84929.74428592729,11563,13614.78254434821
Male,Black,Foreign-Born,2017-2019,Total,25-34,1159946.4714262635,1330,114.66046345782145
Male,Black,Foreign-Born,2017-2019,Total,35-44,1238750.7799014624,1887,152.33088290367036
Male,Black,Foreign-Born,2017-2019,Total,45-54,1127483.7953959773,3677,326.1244210351264
Male,Black,Foreign-Born,2017-2019,Total,55-64,902587.5033185695,7974,883.4600491012523
Male,Black,Foreign-Born,2017-2019,Total,65-74,447038.48183396575,9231,2064.922903757641
Male,Black,Foreign-Born,2017-2019,Total,75-84,157235.4173863161,7674,4880.579787660394
Male,Black,Foreign-Born,2017-2019,Total,85+,51705.947332746146,4995,9660.397415901502
Male,Black,Foreign-Born,2020,Total,25-34,388241.4524447264,584,150.4218563789614
Male,Black,Foreign-Born,2020,Total,35-44,431810.8822558091,942,218.15105610097845
Male,Black,Foreign-Born,2020,Total,45-54,380708.981400644,1746,458.61802198004216
Male,Black,Foreign-Born,2020,Total,55-64,323484.3145134068,4250,1313.8194989123217
Male,Black,Foreign-Born,2020,Total,65-74,166266.8700783053,5535,3328.9855022790935
Male,Black,Foreign-Born,2020,Total,75-84,56230.72344576561,4497,7997.4073325543195
Male,Black,Foreign-Born,2020,Total,85+,19488.763755746113,2735,14033.727507182728
Male,Black,US-Born,2017-2019,Total,25-34,8719433.528573737,24823,284.6859250506881
Male,Black,US-Born,2017-2019,Total,35-44,6462827.220098538,28354,438.72440086008817
Male,Black,US-Born,2017-2019,Total,45-54,6295199.204604023,50717,805.6456730218781
Male,Black,US-Born,2017-2019,Total,55-64,5917582.49668143,106100,1792.9619073244976
Male,Black,US-Born,2017-2019,Total,65-74,3433648.5181660345,114591,3337.2955733164226
Male,Black,US-Born,2017-2019,Total,75-84,1385994.582613684,87754,6331.482178993446
Male,Black,US-Born,2017-2019,Total,85+,408079.0526672539,55104,13503.266006876269
Male,Black,US-Born,2020,Total,25-34,3059582.5475552734,11833,386.75210804346597
Male,Black,US-Born,2020,Total,35-44,2217543.117744191,13066,589.2106401652053
Male,Black,US-Born,2020,Total,45-54,2027936.018599356,21479,1059.1557032866847
Male,Black,US-Born,2020,Total,55-64,2000279.6854865933,44653,2232.3378237547613
Male,Black,US-Born,2020,Total,65-74,1247807.1299216948,52671,4221.085032853221
Male,Black,US-Born,2020,Total,75-84,500922.2765542344,38723,7730.340975524074
Male,Black,US-Born,2020,Total,85+,144108.23624425387,23990,16647.209503930466
Male,Asian,Foreign-Born,2017-2019,Total,25-34,3307787.6399469506,1599,48.340467226174304
Male,Asian,Foreign-Born,2017-2019,Total,35-44,3569191.065722417,2924,81.92332509406222
Male,Asian,Foreign-Born,2017-2019,Total,45-54,3348643.06788464,6817,203.5749962538212
Male,Asian,Foreign-Born,2017-2019,Total,55-64,2633199.4297509193,12988,493.2402708756688
Male,Asian,Foreign-Born,2017-2019,Total,65-74,1736291.993052056,19058,1097.6264404986298
Male,Asian,Foreign-Born,2017-2019,Total,75-84,816216.2638093235,24383,2987.321017863976
